Model,TP,FP,TN,FN,Accuracy,TPR (Recall),FPR,Precision,F1-Score,Avg_Lat_ms
Injection-Sentinel,244,60,3342,19,0.9784447476125512,0.9277566539923955,0.01763668430335097,0.8026315789473685,0.8606701940035273,15.217005031908853
ProtectAI-v1,119,5,3397,144,0.9593451568894952,0.4524714828897338,0.0014697236919459142,0.9596774193548387,0.6149870801033591,10.720416686213659
ProtectAI-v2,109,5,3397,154,0.9566166439290587,0.4144486692015209,0.0014697236919459142,0.956140350877193,0.5782493368700266,10.813928790527711
